@RELATION training_keyboard

@ATTRIBUTE positionX NUMERIC
@ATTRIBUTE positionY NUMERIC
@ATTRIBUTE numGhosts NUMERIC
@ATTRIBUTE alive1 {True, False}
@ATTRIBUTE alive2 {True, False}
@ATTRIBUTE alive3 {True, False}
@ATTRIBUTE alive4 {True, False}
@ATTRIBUTE position1X NUMERIC
@ATTRIBUTE position1Y NUMERIC
@ATTRIBUTE position2X NUMERIC
@ATTRIBUTE position2Y NUMERIC
@ATTRIBUTE position3X NUMERIC
@ATTRIBUTE position3Y NUMERIC
@ATTRIBUTE position4X NUMERIC
@ATTRIBUTE position4Y NUMERIC
@ATTRIBUTE distance1 NUMERIC
@ATTRIBUTE distance2 NUMERIC
@ATTRIBUTE distance3 NUMERIC
@ATTRIBUTE distance4 NUMERIC
@ATTRIBUTE distanceNearestFood NUMERIC
@ATTRIBUTE actualScore NUMERIC
@ATTRIBUTE foodCount NUMERIC
@ATTRIBUTE movement {Stop, South, East, West, North}
@ATTRIBUTE nextScore NUMERIC
@ATTRIBUTE nextNumGhost NUMERIC
@ATTRIBUTE nextFoodCount NUMERIC

@data
1,7,4,True,True,True,True,10,7,11,3,22,11,23,9,9,14,25,23,1,2065,100,West,2164,4,99
1,8,4,True,True,True,True,10,8,10,3,22,12,23,8,9,14,25,21,4,2164,99,North,2163,4,99
1,9,4,True,True,True,True,11,8,11,3,21,12,22,8,11,16,23,23,5,2163,99,North,2162,4,99
2,9,4,True,True,True,True,11,8,12,3,21,11,23,8,10,16,21,21,4,2162,99,East,2161,4,99
3,9,4,True,True,True,True,11,7,13,3,22,11,23,9,10,16,21,21,3,2161,99,East,2160,4,99
4,9,4,True,True,True,True,11,7,13,3,23,11,23,10,9,15,21,19,2,2160,99,East,2159,4,99
5,9,4,True,True,True,True,11,8,13,3,22,11,22,10,7,14,19,19,1,2159,99,East,2158,4,99
6,9,4,True,True,True,True,11,9,13,3,23,11,23,10,5,13,19,17,1,2158,99,East,2257,4,98
7,9,4,True,True,True,True,11,10,13,4,23,12,23,9,5,11,19,16,1,2257,98,East,2356,4,97
8,9,4,True,True,True,True,11,9,14,4,23,11,23,9,3,11,17,16,1,2356,97,East,2455,4,96
9,9,4,True,True,True,True,11,8,15,4,22,11,23,10,3,11,15,14,1,2455,96,East,2554,4,95
10,9,4,True,True,True,True,11,9,15,4,23,11,23,9,1,10,15,12,1,2554,95,East,2753,3,95
11,9,3,False,True,True,True,1,1,15,3,23,12,22,9,-1,10,15,12,1,2753,95,East,2852,3,94
11,8,3,False,True,True,True,1,1,14,3,23,11,22,10,-1,8,15,12,1,2852,94,South,2851,3,94
11,7,3,False,True,True,True,1,1,15,3,23,12,21,10,-1,8,17,13,1,2851,94,South,2950,3,93
12,7,3,False,True,True,True,1,1,14,3,23,11,21,10,-1,6,15,13,1,2950,93,East,2949,3,93
13,7,3,False,True,True,True,1,1,15,3,23,11,22,10,-1,6,14,11,2,2949,93,East,2948,3,93
14,7,3,False,True,True,True,1,1,16,3,23,10,22,9,-1,6,12,9,1,2948,93,East,2947,3,93
14,6,3,False,True,True,True,1,1,17,3,22,10,22,8,-1,6,12,11,2,2947,93,South,2946,3,93
14,5,3,False,True,True,True,1,1,17,4,22,11,23,8,-1,4,14,11,1,2946,93,South,3045,3,92
